SA, Life tables (period 1x1), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.01759  0.01732  0.11  100000    1732   98465  6947995  69.48
  1971           1      0.00149  0.00149  0.50   98268     146   98194  6849530  69.70
  1971           2      0.00098  0.00097  0.50   98121      96   98073  6751336  68.81
  1971           3      0.00089  0.00089  0.50   98025      87   97982  6653262  67.87
  1971           4      0.00045  0.00045  0.50   97938      44   97916  6555281  66.93
  1971           5      0.00027  0.00027  0.50   97894      26   97881  6457364  65.96
  1971           6      0.00000  0.00000  0.50   97868       0   97868  6359483  64.98
  1971           7      0.00042  0.00042  0.50   97868      42   97847  6261616  63.98
  1971           8      0.00033  0.00033  0.50   97826      32   97810  6163769  63.01
  1971           9      0.00065  0.00065  0.50   97794      63   97762  6065959  62.03
  1971          10      0.00008  0.00008  0.50   97731       8   97727  5968196  61.07
  1971          11      0.00048  0.00048  0.50   97723      47   97699  5870470  60.07
  1971          12      0.00041  0.00041  0.50   97676      40   97656  5772771  59.10
  1971          13      0.00016  0.00016  0.50   97636      16   97628  5675115  58.13
  1971          14      0.00008  0.00008  0.50   97620       8   97616  5577487  57.13
  1971          15      0.00094  0.00094  0.50   97612      92   97566  5479871  56.14
  1971          16      0.00133  0.00133  0.50   97520     129   97455  5382305  55.19
  1971          17      0.00182  0.00182  0.50   97390     177   97302  5284851  54.26
  1971          18      0.00178  0.00178  0.50   97213     173   97127  5187549  53.36
  1971          19      0.00230  0.00230  0.50   97040     223   96928  5090422  52.46
  1971          20      0.00156  0.00156  0.50   96817     151   96741  4993494  51.58
  1971          21      0.00229  0.00229  0.50   96665     221   96555  4896753  50.66
  1971          22      0.00138  0.00138  0.50   96444     133   96377  4800198  49.77
  1971          23      0.00098  0.00098  0.50   96311      94   96264  4703821  48.84
  1971          24      0.00109  0.00109  0.50   96217     105   96164  4607557  47.89
  1971          25      0.00080  0.00080  0.50   96112      77   96073  4511393  46.94
  1971          26      0.00170  0.00170  0.50   96035     163   95953  4415320  45.98
  1971          27      0.00083  0.00083  0.50   95872      80   95832  4319367  45.05
  1971          28      0.00123  0.00123  0.50   95792     118   95733  4223535  44.09
  1971          29      0.00115  0.00115  0.50   95674     110   95619  4127802  43.14
  1971          30      0.00171  0.00170  0.50   95564     163   95483  4032183  42.19
  1971          31      0.00176  0.00176  0.50   95401     168   95317  3936700  41.26
  1971          32      0.00112  0.00112  0.50   95233     107   95180  3841383  40.34
  1971          33      0.00099  0.00099  0.50   95127      94   95079  3746203  39.38
  1971          34      0.00172  0.00172  0.50   95032     164   94951  3651123  38.42
  1971          35      0.00159  0.00159  0.50   94869     150   94794  3556173  37.49
  1971          36      0.00174  0.00174  0.50   94718     165   94636  3461379  36.54
  1971          37      0.00209  0.00209  0.50   94553     197   94455  3366743  35.61
  1971          38      0.00252  0.00251  0.50   94356     237   94237  3272289  34.68
  1971          39      0.00271  0.00271  0.50   94119     255   93991  3178051  33.77
  1971          40      0.00265  0.00265  0.50   93864     249   93740  3084060  32.86
  1971          41      0.00278  0.00278  0.50   93615     260   93485  2990320  31.94
  1971          42      0.00322  0.00321  0.50   93355     300   93205  2896835  31.03
  1971          43      0.00205  0.00204  0.50   93055     190   92960  2803629  30.13
  1971          44      0.00315  0.00315  0.50   92865     292   92719  2710669  29.19
  1971          45      0.00344  0.00344  0.50   92573     318   92414  2617950  28.28
  1971          46      0.00532  0.00531  0.50   92254     490   92010  2525537  27.38
  1971          47      0.00526  0.00525  0.50   91765     482   91524  2433527  26.52
  1971          48      0.00439  0.00438  0.50   91283     400   91083  2342004  25.66
  1971          49      0.00616  0.00614  0.50   90883     558   90604  2250921  24.77
  1971          50      0.00644  0.00642  0.50   90325     580   90035  2160317  23.92
  1971          51      0.00773  0.00770  0.50   89745     691   89399  2070282  23.07
  1971          52      0.00695  0.00692  0.50   89054     617   88746  1980883  22.24
  1971          53      0.00838  0.00835  0.50   88437     738   88068  1892138  21.40
  1971          54      0.01088  0.01082  0.50   87699     949   87225  1804069  20.57
  1971          55      0.01102  0.01096  0.50   86750     951   86275  1716845  19.79
  1971          56      0.01204  0.01197  0.50   85800    1027   85286  1630570  19.00
  1971          57      0.01714  0.01700  0.50   84773    1441   84052  1545284  18.23
  1971          58      0.01883  0.01865  0.50   83332    1554   82554  1461231  17.54
  1971          59      0.01828  0.01811  0.50   81777    1481   81036  1378677  16.86
  1971          60      0.01934  0.01915  0.50   80296    1538   79527  1297641  16.16
  1971          61      0.02096  0.02074  0.50   78758    1633   77941  1218114  15.47
  1971          62      0.02146  0.02123  0.50   77125    1637   76306  1140173  14.78
  1971          63      0.02388  0.02359  0.50   75487    1781   74597  1063867  14.09
  1971          64      0.02517  0.02486  0.50   73706    1832   72790   989270  13.42
  1971          65      0.03129  0.03081  0.50   71874    2214   70767   916479  12.75
  1971          66      0.03366  0.03310  0.50   69660    2306   68507   845712  12.14
  1971          67      0.04099  0.04017  0.50   67354    2706   66001   777205  11.54
  1971          68      0.04021  0.03941  0.50   64649    2548   63375   711204  11.00
  1971          69      0.04210  0.04123  0.50   62101    2561   60820   647829  10.43
  1971          70      0.05497  0.05350  0.50   59540    3185   57947   587009   9.86
  1971          71      0.06132  0.05950  0.50   56354    3353   54678   529062   9.39
  1971          72      0.06567  0.06359  0.50   53001    3370   51316   474384   8.95
  1971          73      0.06316  0.06123  0.50   49631    3039   48112   423067   8.52
  1971          74      0.07385  0.07122  0.50   46593    3318   44934   374956   8.05
  1971          75      0.08837  0.08463  0.50   43274    3662   41443   330022   7.63
  1971          76      0.08507  0.08160  0.50   39612    3232   37996   288579   7.29
