TAS, Exposure to risk (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             31618.30        32702.45        64320.75
1971-1979        1             32320.34        33397.35        65717.69
1971-1979        2             32919.46        34185.47        67104.93
1971-1979        3             33743.94        35042.51        68786.46
1971-1979        4             34270.19        35542.29        69812.48
1971-1979        5             34570.94        35847.67        70418.61
1971-1979        6             34810.67        36027.17        70837.84
1971-1979        7             34885.04        36211.19        71096.23
1971-1979        8             35022.89        36518.91        71541.80
1971-1979        9             35068.39        36675.80        71744.19
1971-1979       10             35267.96        36935.94        72203.90
1971-1979       11             35665.94        37186.94        72852.88
1971-1979       12             35842.55        37460.39        73302.94
1971-1979       13             36214.75        37715.43        73930.17
1971-1979       14             36382.80        37924.61        74307.41
1971-1979       15             36198.23        37622.00        73820.23
1971-1979       16             35701.25        36849.73        72550.98
1971-1979       17             34817.22        35607.55        70424.77
1971-1979       18             33692.75        34117.53        67810.27
1971-1979       19             32533.43        32847.91        65381.34
1971-1979       20             31356.78        31884.43        63241.21
1971-1979       21             30481.88        31126.50        61608.37
1971-1979       22             29885.99        30571.99        60457.98
1971-1979       23             29642.07        30214.86        59856.93
1971-1979       24             29347.65        29923.29        59270.93
1971-1979       25             29229.60        29984.01        59213.61
1971-1979       26             28650.85        29577.43        58228.28
1971-1979       27             27965.59        29067.50        57033.09
1971-1979       28             27252.84        28513.69        55766.53
1971-1979       29             26470.76        27767.84        54238.60
1971-1979       30             25633.84        27003.47        52637.31
1971-1979       31             24842.94        26248.93        51091.87
1971-1979       32             24032.55        25464.20        49496.75
1971-1979       33             23009.39        24272.90        47282.28
1971-1979       34             22160.08        23317.48        45477.56
1971-1979       35             21604.31        22671.65        44275.96
1971-1979       36             21040.99        21976.93        43017.92
1971-1979       37             20472.99        21375.07        41848.06
1971-1979       38             20071.47        21007.40        41078.87
1971-1979       39             19687.61        20618.41        40306.01
1971-1979       40             19303.09        20204.51        39507.60
1971-1979       41             19234.95        20108.95        39343.89
1971-1979       42             19065.32        19926.05        38991.36
1971-1979       43             18877.77        19827.81        38705.58
1971-1979       44             18918.09        19869.11        38787.19
1971-1979       45             18963.18        19984.22        38947.40
1971-1979       46             19176.87        20194.15        39371.01
1971-1979       47             19336.83        20349.35        39686.18
1971-1979       48             19536.33        20441.21        39977.53
1971-1979       49             19636.55        20499.09        40135.65
1971-1979       50             19659.51        20326.78        39986.29
1971-1979       51             19647.77        20130.39        39778.17
1971-1979       52             19444.40        19728.36        39172.76
1971-1979       53             19168.03        19188.28        38356.31
1971-1979       54             18811.90        18620.29        37432.19
1971-1979       55             18510.71        18187.82        36698.53
1971-1979       56             18166.77        17743.35        35910.12
1971-1979       57             17856.94        17336.25        35193.18
