TAS, Death rates (period 5x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.013888        0.018043        0.016000
1971-1979      1-4             0.000766        0.000905        0.000836
1971-1979      5-9             0.000511        0.000563        0.000537
1971-1979     10-14            0.000468        0.000540        0.000505
1971-1979     15-19            0.000607        0.002062        0.001343
1971-1979     20-24            0.000597        0.002095        0.001354
1971-1979     25-29            0.000796        0.001401        0.001104
1971-1979     30-34            0.000794        0.001410        0.001110
1971-1979     35-39            0.001235        0.002081        0.001668
1971-1979     40-44            0.001730        0.003212        0.002488
1971-1979     45-49            0.003363        0.005914        0.004669
1971-1979     50-54            0.005232        0.009328        0.007293
1971-1979     55-59            0.008100        0.015328        0.011666
1971-1979     60-64            0.011492        0.023359        0.017305
1971-1979     65-69            0.018139        0.037136        0.027260
1971-1979     70-74            0.033317        0.059214        0.044896
1971-1979     75-79            0.054205        0.090197        0.068285
1971-1979     80-84            0.090735        0.129642        0.103939
1971-1979     85-89            0.156683        0.196156        0.169479
1971-1979     90-94            0.241541        0.295669        0.257611
1971-1979     95-99            0.328925        0.291283        0.316791
1971-1979    100-104           0.789259        1.417864        0.902326
1971-1979    105-109                 .              .              .
1971-1979    110+                    .              .              .
1980-1989        0             0.009061        0.013096        0.011118
1980-1989      1-4             0.000568        0.000618        0.000593
1980-1989      5-9             0.000248        0.000405        0.000328
1980-1989     10-14            0.000324        0.000493        0.000410
1980-1989     15-19            0.000477        0.001340        0.000914
1980-1989     20-24            0.000679        0.001517        0.001098
1980-1989     25-29            0.000583        0.001324        0.000954
1980-1989     30-34            0.000796        0.001207        0.001003
1980-1989     35-39            0.001064        0.001584        0.001326
1980-1989     40-44            0.001587        0.002531        0.002067
1980-1989     45-49            0.002553        0.003962        0.003269
1980-1989     50-54            0.004301        0.007827        0.006093
1980-1989     55-59            0.006494        0.012773        0.009659
1980-1989     60-64            0.009878        0.019420        0.014516
1980-1989     65-69            0.016998        0.031308        0.023695
1980-1989     70-74            0.026016        0.052197        0.037688
